id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12450,TON,2013,daging ayam
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20721,TON,2013,daging ayam
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,9727,TON,2013,daging ayam
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,95315,TON,2013,daging ayam
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,97643,TON,2013,daging ayam
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,32953,TON,2013,daging ayam
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,5513,TON,2013,daging ayam
8,32,JAWA BARAT,3205,KABUPATEN GARUT,2669,TON,2013,daging ayam
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,16107,TON,2013,daging ayam
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,50894,TON,2013,daging ayam
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8453,TON,2013,daging ayam
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22518,TON,2013,daging ayam
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013,daging ayam
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14145,TON,2013,daging ayam
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,34475,TON,2013,daging ayam
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46193,TON,2013,daging ayam
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9452,TON,2013,daging ayam
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,50939,TON,2013,daging ayam
19,32,JAWA BARAT,3273,KOTA BANDUNG,494,TON,2013,daging ayam
20,32,JAWA BARAT,3279,KOTA BANJAR,1137,TON,2013,daging ayam
21,32,JAWA BARAT,3275,KOTA BEKASI,4622,TON,2013,daging ayam
22,32,JAWA BARAT,3271,KOTA BOGOR,12408,TON,2013,daging ayam
23,32,JAWA BARAT,3277,KOTA CIMAHI,484,TON,2013,daging ayam
24,32,JAWA BARAT,3274,KOTA CIREBON,320,TON,2013,daging ayam
25,32,JAWA BARAT,3276,KOTA DEPOK,6806,TON,2013,daging ayam
26,32,JAWA BARAT,3272,KOTA SUKABUMI,2576,TON,2013,daging ayam
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4514,TON,2013,daging ayam
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,16790,TON,2014,daging ayam
29,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,21482,TON,2014,daging ayam
30,32,JAWA BARAT,3216,KABUPATEN BEKASI,9979,TON,2014,daging ayam
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,102344,TON,2014,daging ayam
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,68090,TON,2014,daging ayam
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,35980,TON,2014,daging ayam
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,7406,TON,2014,daging ayam
35,32,JAWA BARAT,3205,KABUPATEN GARUT,2696,TON,2014,daging ayam
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,15875,TON,2014,daging ayam
37,32,JAWA BARAT,3215,KABUPATEN KARAWANG,37243,TON,2014,daging ayam
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8031,TON,2014,daging ayam
39,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25599,TON,2014,daging ayam
40,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,270,TON,2014,daging ayam
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15984,TON,2014,daging ayam
42,32,JAWA BARAT,3213,KABUPATEN SUBANG,35208,TON,2014,daging ayam
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,47510,TON,2014,daging ayam
44,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14244,TON,2014,daging ayam
45,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,54347,TON,2014,daging ayam
46,32,JAWA BARAT,3273,KOTA BANDUNG,554,TON,2014,daging ayam
47,32,JAWA BARAT,3279,KOTA BANJAR,1234,TON,2014,daging ayam
48,32,JAWA BARAT,3275,KOTA BEKASI,4762,TON,2014,daging ayam
49,32,JAWA BARAT,3271,KOTA BOGOR,7872,TON,2014,daging ayam
50,32,JAWA BARAT,3277,KOTA CIMAHI,435,TON,2014,daging ayam
51,32,JAWA BARAT,3274,KOTA CIREBON,100,TON,2014,daging ayam
52,32,JAWA BARAT,3276,KOTA DEPOK,2393,TON,2014,daging ayam
53,32,JAWA BARAT,3272,KOTA SUKABUMI,2498,TON,2014,daging ayam
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4838,TON,2014,daging ayam
55,32,JAWA BARAT,3204,KABUPATEN BANDUNG,17662,TON,2015,daging ayam
56,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20825,TON,2015,daging ayam
57,32,JAWA BARAT,3216,KABUPATEN BEKASI,5940,TON,2015,daging ayam
58,32,JAWA BARAT,3201,KABUPATEN BOGOR,91845,TON,2015,daging ayam
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69535,TON,2015,daging ayam
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,36391,TON,2015,daging ayam
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,11406,TON,2015,daging ayam
62,32,JAWA BARAT,3205,KABUPATEN GARUT,2700,TON,2015,daging ayam
63,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11154,TON,2015,daging ayam
64,32,JAWA BARAT,3215,KABUPATEN KARAWANG,26759,TON,2015,daging ayam
65,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11611,TON,2015,daging ayam
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25832,TON,2015,daging ayam
67,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,285,TON,2015,daging ayam
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,22440,TON,2015,daging ayam
69,32,JAWA BARAT,3213,KABUPATEN SUBANG,37652,TON,2015,daging ayam
70,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,49444,TON,2015,daging ayam
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14129,TON,2015,daging ayam
72,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,58420,TON,2015,daging ayam
73,32,JAWA BARAT,3273,KOTA BANDUNG,1320,TON,2015,daging ayam
74,32,JAWA BARAT,3279,KOTA BANJAR,1007,TON,2015,daging ayam
75,32,JAWA BARAT,3275,KOTA BEKASI,2520,TON,2015,daging ayam
76,32,JAWA BARAT,3271,KOTA BOGOR,999,TON,2015,daging ayam
77,32,JAWA BARAT,3277,KOTA CIMAHI,94,TON,2015,daging ayam
78,32,JAWA BARAT,3274,KOTA CIREBON,398,TON,2015,daging ayam
79,32,JAWA BARAT,3276,KOTA DEPOK,2380,TON,2015,daging ayam
80,32,JAWA BARAT,3272,KOTA SUKABUMI,2766,TON,2015,daging ayam
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4911,TON,2015,daging ayam
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,18538,TON,2016,daging ayam
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,35080,TON,2016,daging ayam
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,9761,TON,2016,daging ayam
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,87934,TON,2016,daging ayam
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,114887,TON,2016,daging ayam
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42243,TON,2016,daging ayam
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,11438,TON,2016,daging ayam
89,32,JAWA BARAT,3205,KABUPATEN GARUT,4682,TON,2016,daging ayam
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,27762,TON,2016,daging ayam
91,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71579,TON,2016,daging ayam
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12108,TON,2016,daging ayam
93,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,26154,TON,2016,daging ayam
94,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1883,TON,2016,daging ayam
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,51864,TON,2016,daging ayam
96,32,JAWA BARAT,3213,KABUPATEN SUBANG,62608,TON,2016,daging ayam
97,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51965,TON,2016,daging ayam
98,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18823,TON,2016,daging ayam
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40540,TON,2016,daging ayam
100,32,JAWA BARAT,3273,KOTA BANDUNG,2873,TON,2016,daging ayam
101,32,JAWA BARAT,3279,KOTA BANJAR,4517,TON,2016,daging ayam
102,32,JAWA BARAT,3275,KOTA BEKASI,4039,TON,2016,daging ayam
103,32,JAWA BARAT,3271,KOTA BOGOR,1584,TON,2016,daging ayam
104,32,JAWA BARAT,3277,KOTA CIMAHI,127,TON,2016,daging ayam
105,32,JAWA BARAT,3274,KOTA CIREBON,663,TON,2016,daging ayam
106,32,JAWA BARAT,3276,KOTA DEPOK,3632,TON,2016,daging ayam
107,32,JAWA BARAT,3272,KOTA SUKABUMI,4203,TON,2016,daging ayam
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8331,TON,2016,daging ayam
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,32324,TON,2017,daging ayam
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34275,TON,2017,daging ayam
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,9829,TON,2017,daging ayam
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,151368,TON,2017,daging ayam
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,116049,TON,2017,daging ayam
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42207,TON,2017,daging ayam
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,18758,TON,2017,daging ayam
116,32,JAWA BARAT,3205,KABUPATEN GARUT,8276,TON,2017,daging ayam
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,28862,TON,2017,daging ayam
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,78737,TON,2017,daging ayam
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,13317,TON,2017,daging ayam
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22804,TON,2017,daging ayam
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1918,TON,2017,daging ayam
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52468,TON,2017,daging ayam
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,67800,TON,2017,daging ayam
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,53851,TON,2017,daging ayam
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,21068,TON,2017,daging ayam
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,41799,TON,2017,daging ayam
127,32,JAWA BARAT,3273,KOTA BANDUNG,2882,TON,2017,daging ayam
128,32,JAWA BARAT,3279,KOTA BANJAR,4523,TON,2017,daging ayam
129,32,JAWA BARAT,3275,KOTA BEKASI,3062,TON,2017,daging ayam
130,32,JAWA BARAT,3271,KOTA BOGOR,1380,TON,2017,daging ayam
131,32,JAWA BARAT,3277,KOTA CIMAHI,295,TON,2017,daging ayam
132,32,JAWA BARAT,3274,KOTA CIREBON,670,TON,2017,daging ayam
133,32,JAWA BARAT,3276,KOTA DEPOK,3705,TON,2017,daging ayam
134,32,JAWA BARAT,3272,KOTA SUKABUMI,3237,TON,2017,daging ayam
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8398,TON,2017,daging ayam
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20141,TON,2018,daging ayam
137,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,14995,TON,2018,daging ayam
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,9878,TON,2018,daging ayam
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,151552,TON,2018,daging ayam
140,32,JAWA BARAT,3207,KABUPATEN CIAMIS,117271,TON,2018,daging ayam
141,32,JAWA BARAT,3203,KABUPATEN CIANJUR,44474,TON,2018,daging ayam
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,19681,TON,2018,daging ayam
143,32,JAWA BARAT,3205,KABUPATEN GARUT,9160,TON,2018,daging ayam
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,35670,TON,2018,daging ayam
145,32,JAWA BARAT,3215,KABUPATEN KARAWANG,57,TON,2018,daging ayam
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,24551,TON,2018,daging ayam
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22810,TON,2018,daging ayam
148,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1771,TON,2018,daging ayam
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,32748,TON,2018,daging ayam
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,42733,TON,2018,daging ayam
151,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,54928,TON,2018,daging ayam
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12195,TON,2018,daging ayam
153,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,38260,TON,2018,daging ayam
154,32,JAWA BARAT,3273,KOTA BANDUNG,193,TON,2018,daging ayam
155,32,JAWA BARAT,3279,KOTA BANJAR,2323,TON,2018,daging ayam
156,32,JAWA BARAT,3275,KOTA BEKASI,1819,TON,2018,daging ayam
157,32,JAWA BARAT,3271,KOTA BOGOR,1395,TON,2018,daging ayam
158,32,JAWA BARAT,3277,KOTA CIMAHI,43,TON,2018,daging ayam
159,32,JAWA BARAT,3274,KOTA CIREBON,110,TON,2018,daging ayam
160,32,JAWA BARAT,3276,KOTA DEPOK,3776,TON,2018,daging ayam
161,32,JAWA BARAT,3272,KOTA SUKABUMI,2057,TON,2018,daging ayam
162,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3498,TON,2018,daging ayam
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,177272,TON,2019,daging ayam
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,59065,TON,2019,daging ayam
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,47679,TON,2019,daging ayam
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,36616,TON,2019,daging ayam
167,32,JAWA BARAT,3205,KABUPATEN GARUT,9383,TON,2019,daging ayam
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,38655,TON,2019,daging ayam
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,120630,TON,2019,daging ayam
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25168,TON,2019,daging ayam
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,21412,TON,2019,daging ayam
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23369,TON,2019,daging ayam
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20114,TON,2019,daging ayam
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,47898,TON,2019,daging ayam
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,57722,TON,2019,daging ayam
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56832,TON,2019,daging ayam
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,94251,TON,2019,daging ayam
