id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2013,daging babi
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2013,daging babi
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,8,TON,2013,daging babi
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,TON,2013,daging babi
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2013,daging babi
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,TON,2013,daging babi
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2013,daging babi
8,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2013,daging babi
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2013,daging babi
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,26,TON,2013,daging babi
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2013,daging babi
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2013,daging babi
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013,daging babi
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2013,daging babi
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2013,daging babi
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,TON,2013,daging babi
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2013,daging babi
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,TON,2013,daging babi
19,32,JAWA BARAT,3273,KOTA BANDUNG,868,TON,2013,daging babi
20,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2013,daging babi
21,32,JAWA BARAT,3275,KOTA BEKASI,22,TON,2013,daging babi
