id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2144,TON,2013,daging domba
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1491,TON,2013,daging domba
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,487,TON,2013,daging domba
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3042,TON,2013,daging domba
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,588,TON,2013,daging domba
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,620,TON,2013,daging domba
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,2713,TON,2013,daging domba
8,32,JAWA BARAT,3205,KABUPATEN GARUT,227,TON,2013,daging domba
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,303,TON,2013,daging domba
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,849,TON,2013,daging domba
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,719,TON,2013,daging domba
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,579,TON,2013,daging domba
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013,daging domba
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,312,TON,2013,daging domba
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,1406,TON,2013,daging domba
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,611,TON,2013,daging domba
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,305,TON,2013,daging domba
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,694,TON,2013,daging domba
19,32,JAWA BARAT,3273,KOTA BANDUNG,1390,TON,2013,daging domba
20,32,JAWA BARAT,3279,KOTA BANJAR,296,TON,2013,daging domba
21,32,JAWA BARAT,3275,KOTA BEKASI,2487,TON,2013,daging domba
