id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2013,daging kelinci
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1010,TON,2013,daging kelinci
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2013,daging kelinci
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,540,TON,2013,daging kelinci
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,120,TON,2013,daging kelinci
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,340,TON,2013,daging kelinci
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,50,TON,2013,daging kelinci
8,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2013,daging kelinci
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,40,TON,2013,daging kelinci
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2013,daging kelinci
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,110,TON,2013,daging kelinci
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2013,daging kelinci
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013,daging kelinci
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2013,daging kelinci
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,250,TON,2013,daging kelinci
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,140,TON,2013,daging kelinci
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,90,TON,2013,daging kelinci
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,190,TON,2013,daging kelinci
19,32,JAWA BARAT,3273,KOTA BANDUNG,890,TON,2013,daging kelinci
20,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2013,daging kelinci
21,32,JAWA BARAT,3275,KOTA BEKASI,20,TON,2013,daging kelinci
22,32,JAWA BARAT,3271,KOTA BOGOR,30,TON,2013,daging kelinci
23,32,JAWA BARAT,3277,KOTA CIMAHI,30,TON,2013,daging kelinci
24,32,JAWA BARAT,3274,KOTA CIREBON,31,TON,2013,daging kelinci
25,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2013,daging kelinci
26,32,JAWA BARAT,3272,KOTA SUKABUMI,45,TON,2013,daging kelinci
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,90,TON,2013,daging kelinci
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2014,daging kelinci
29,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1040,TON,2014,daging kelinci
30,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2014,daging kelinci
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,550,TON,2014,daging kelinci
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,100,TON,2014,daging kelinci
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,260,TON,2014,daging kelinci
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,40,TON,2014,daging kelinci
35,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2014,daging kelinci
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,40,TON,2014,daging kelinci
37,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2014,daging kelinci
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,140,TON,2014,daging kelinci
39,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2014,daging kelinci
40,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2014,daging kelinci
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2014,daging kelinci
42,32,JAWA BARAT,3213,KABUPATEN SUBANG,250,TON,2014,daging kelinci
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20,TON,2014,daging kelinci
44,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,90,TON,2014,daging kelinci
45,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,230,TON,2014,daging kelinci
46,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2014,daging kelinci
47,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2014,daging kelinci
48,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2014,daging kelinci
49,32,JAWA BARAT,3271,KOTA BOGOR,20,TON,2014,daging kelinci
50,32,JAWA BARAT,3277,KOTA CIMAHI,30,TON,2014,daging kelinci
51,32,JAWA BARAT,3274,KOTA CIREBON,33,TON,2014,daging kelinci
52,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2014,daging kelinci
53,32,JAWA BARAT,3272,KOTA SUKABUMI,47,TON,2014,daging kelinci
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,90,TON,2014,daging kelinci
55,32,JAWA BARAT,3204,KABUPATEN BANDUNG,470,TON,2015,daging kelinci
56,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1420,TON,2015,daging kelinci
57,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2015,daging kelinci
58,32,JAWA BARAT,3201,KABUPATEN BOGOR,490,TON,2015,daging kelinci
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,110,TON,2015,daging kelinci
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,260,TON,2015,daging kelinci
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,40,TON,2015,daging kelinci
62,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2015,daging kelinci
63,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,40,TON,2015,daging kelinci
64,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2015,daging kelinci
65,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80,TON,2015,daging kelinci
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2015,daging kelinci
67,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2015,daging kelinci
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2015,daging kelinci
69,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2015,daging kelinci
70,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20,TON,2015,daging kelinci
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,100,TON,2015,daging kelinci
72,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,210,TON,2015,daging kelinci
73,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2015,daging kelinci
