id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_jeruk_pamelo,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,13,KUINTAL,2021,jeruk
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,396,KUINTAL,2021,jeruk
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2396,KUINTAL,2021,jeruk
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5293,KUINTAL,2021,jeruk
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2,KUINTAL,2021,jeruk
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,385,KUINTAL,2021,jeruk
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70,KUINTAL,2021,jeruk
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15,KUINTAL,2021,jeruk
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KUINTAL,2021,jeruk
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,142,KUINTAL,2021,jeruk
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,26505,KUINTAL,2021,jeruk
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KUINTAL,2021,jeruk
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1102,KUINTAL,2021,jeruk
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,370,KUINTAL,2021,jeruk
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,70,KUINTAL,2021,jeruk
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,48,KUINTAL,2021,jeruk
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10838,KUINTAL,2021,jeruk
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KUINTAL,2021,jeruk
19,32,JAWA BARAT,3271,KOTA BOGOR,0,KUINTAL,2021,jeruk
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2021,jeruk
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,KUINTAL,2021,jeruk
22,32,JAWA BARAT,3274,KOTA CIREBON,0,KUINTAL,2021,jeruk
23,32,JAWA BARAT,3275,KOTA BEKASI,575,KUINTAL,2021,jeruk
24,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2021,jeruk
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2021,jeruk
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,KUINTAL,2021,jeruk
27,32,JAWA BARAT,3279,KOTA BANJAR,71,KUINTAL,2021,jeruk
