id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kubis,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,527,TON,2013,kubis
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5277,TON,2013,kubis
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,23185,TON,2013,kubis
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,96700,TON,2013,kubis
5,32,JAWA BARAT,3205,KABUPATEN GARUT,155701,TON,2013,kubis
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1638,TON,2013,kubis
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,785,TON,2013,kubis
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3045,TON,2013,kubis
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2013,kubis
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18341,TON,2013,kubis
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7461,TON,2013,kubis
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2013,kubis
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,315,TON,2013,kubis
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,43,TON,2013,kubis
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2013,kubis
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2013,kubis
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6720,TON,2013,kubis
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013,kubis
19,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2013,kubis
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2013,kubis
21,32,JAWA BARAT,3273,KOTA BANDUNG,54,TON,2013,kubis
22,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2013,kubis
23,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2013,kubis
24,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2013,kubis
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2013,kubis
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2013,kubis
27,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2013,kubis
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,170,TON,2014,kubis
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7317,TON,2014,kubis
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,18280,TON,2014,kubis
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,107060,TON,2014,kubis
32,32,JAWA BARAT,3205,KABUPATEN GARUT,131921,TON,2014,kubis
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2609,TON,2014,kubis
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,299,TON,2014,kubis
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3183,TON,2014,kubis
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2014,kubis
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9390,TON,2014,kubis
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9240,TON,2014,kubis
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2014,kubis
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,199,TON,2014,kubis
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2014,kubis
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2014,kubis
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2014,kubis
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7173,TON,2014,kubis
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2014,kubis
46,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2014,kubis
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2014,kubis
48,32,JAWA BARAT,3273,KOTA BANDUNG,102,TON,2014,kubis
49,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2014,kubis
50,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2014,kubis
51,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2014,kubis
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2014,kubis
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2014,kubis
54,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2014,kubis
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,100,TON,2015,kubis
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7415,TON,2015,kubis
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,17698,TON,2015,kubis
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,76944,TON,2015,kubis
59,32,JAWA BARAT,3205,KABUPATEN GARUT,144724,TON,2015,kubis
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2086,TON,2015,kubis
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20,TON,2015,kubis
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4593,TON,2015,kubis
