id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70417,TON,2013,susu sapi
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,73544,TON,2013,susu sapi
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,524,TON,2013,susu sapi
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,12389,TON,2013,susu sapi
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,53,TON,2013,susu sapi
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4807,TON,2013,susu sapi
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,500,TON,2013,susu sapi
8,32,JAWA BARAT,3205,KABUPATEN GARUT,43872,TON,2013,susu sapi
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,503,TON,2013,susu sapi
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11,TON,2013,susu sapi
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12261,TON,2013,susu sapi
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1693,TON,2013,susu sapi
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013,susu sapi
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,39,TON,2013,susu sapi
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,2844,TON,2013,susu sapi
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11098,TON,2013,susu sapi
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11031,TON,2013,susu sapi
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3185,TON,2013,susu sapi
19,32,JAWA BARAT,3273,KOTA BANDUNG,1351,TON,2013,susu sapi
20,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2013,susu sapi
21,32,JAWA BARAT,3275,KOTA BEKASI,5,TON,2013,susu sapi
22,32,JAWA BARAT,3271,KOTA BOGOR,1363,TON,2013,susu sapi
23,32,JAWA BARAT,3277,KOTA CIMAHI,1835,TON,2013,susu sapi
24,32,JAWA BARAT,3274,KOTA CIREBON,7,TON,2013,susu sapi
25,32,JAWA BARAT,3276,KOTA DEPOK,1573,TON,2013,susu sapi
26,32,JAWA BARAT,3272,KOTA SUKABUMI,299,TON,2013,susu sapi
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,344,TON,2013,susu sapi
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72929,TON,2014,susu sapi
29,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79136,TON,2014,susu sapi
30,32,JAWA BARAT,3216,KABUPATEN BEKASI,135,TON,2014,susu sapi
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,11154,TON,2014,susu sapi
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,54,TON,2014,susu sapi
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4590,TON,2014,susu sapi
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,459,TON,2014,susu sapi
35,32,JAWA BARAT,3205,KABUPATEN GARUT,42658,TON,2014,susu sapi
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,644,TON,2014,susu sapi
37,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11,TON,2014,susu sapi
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12063,TON,2014,susu sapi
39,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1736,TON,2014,susu sapi
