id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_perikanan,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.0,TON,2018,tuna
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,160.89,TON,2018,tuna
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.0,TON,2018,tuna
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.0,TON,2018,tuna
5,32,JAWA BARAT,3205,KABUPATEN GARUT,5750.0,TON,2018,tuna
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,TON,2018,tuna
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.0,TON,2018,tuna
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.0,TON,2018,tuna
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,TON,2018,tuna
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.0,TON,2018,tuna
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,TON,2018,tuna
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,TON,2018,tuna
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1.83,TON,2018,tuna
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.0,TON,2018,tuna
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,TON,2018,tuna
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,TON,2018,tuna
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,TON,2018,tuna
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28.5,TON,2018,tuna
19,32,JAWA BARAT,3271,KOTA BOGOR,0.0,TON,2018,tuna
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,TON,2018,tuna
21,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,TON,2018,tuna
22,32,JAWA BARAT,3274,KOTA CIREBON,0.0,TON,2018,tuna
23,32,JAWA BARAT,3275,KOTA BEKASI,0.0,TON,2018,tuna
24,32,JAWA BARAT,3276,KOTA DEPOK,0.0,TON,2018,tuna
25,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,TON,2018,tuna
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,TON,2018,tuna
27,32,JAWA BARAT,3279,KOTA BANJAR,0.0,TON,2018,tuna
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.0,TON,2019,tuna
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1112.0,TON,2019,tuna
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.0,TON,2019,tuna
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.0,TON,2019,tuna
32,32,JAWA BARAT,3205,KABUPATEN GARUT,0.0,TON,2019,tuna
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,TON,2019,tuna
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.0,TON,2019,tuna
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.0,TON,2019,tuna
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,TON,2019,tuna
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.0,TON,2019,tuna
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,TON,2019,tuna
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,TON,2019,tuna
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.0,TON,2019,tuna
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.0,TON,2019,tuna
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,TON,2019,tuna
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,TON,2019,tuna
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,TON,2019,tuna
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,TON,2019,tuna
46,32,JAWA BARAT,3271,KOTA BOGOR,0.0,TON,2019,tuna
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,TON,2019,tuna
48,32,JAWA BARAT,3273,KOTA BANDUNG,42.0,TON,2019,tuna
49,32,JAWA BARAT,3274,KOTA CIREBON,0.0,TON,2019,tuna
50,32,JAWA BARAT,3275,KOTA BEKASI,0.0,TON,2019,tuna
51,32,JAWA BARAT,3276,KOTA DEPOK,0.0,TON,2019,tuna
52,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,TON,2019,tuna
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,TON,2019,tuna
54,32,JAWA BARAT,3279,KOTA BANJAR,1154.0,TON,2019,tuna
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.0,TON,2020,tuna
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1440.0,TON,2020,tuna
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.0,TON,2020,tuna
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.0,TON,2020,tuna
59,32,JAWA BARAT,3205,KABUPATEN GARUT,0.0,TON,2020,tuna
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,TON,2020,tuna
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.0,TON,2020,tuna
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.0,TON,2020,tuna
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,TON,2020,tuna
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.0,TON,2020,tuna
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,TON,2020,tuna
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,TON,2020,tuna
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.0,TON,2020,tuna
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.0,TON,2020,tuna
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,TON,2020,tuna
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,TON,2020,tuna
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,TON,2020,tuna
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,24.0,TON,2020,tuna
73,32,JAWA BARAT,3271,KOTA BOGOR,0.0,TON,2020,tuna
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,TON,2020,tuna
75,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,TON,2020,tuna
76,32,JAWA BARAT,3274,KOTA CIREBON,0.0,TON,2020,tuna
77,32,JAWA BARAT,3275,KOTA BEKASI,0.0,TON,2020,tuna
78,32,JAWA BARAT,3276,KOTA DEPOK,0.0,TON,2020,tuna
79,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,TON,2020,tuna
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,TON,2020,tuna
81,32,JAWA BARAT,3279,KOTA BANJAR,0.0,TON,2020,tuna
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.0,TON,2021,tuna
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1475.0,TON,2021,tuna
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.0,TON,2021,tuna
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.0,TON,2021,tuna
86,32,JAWA BARAT,3205,KABUPATEN GARUT,0.0,TON,2021,tuna
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,TON,2021,tuna
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.0,TON,2021,tuna
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.0,TON,2021,tuna
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,TON,2021,tuna
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.0,TON,2021,tuna
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,TON,2021,tuna
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,TON,2021,tuna
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.0,TON,2021,tuna
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.0,TON,2021,tuna
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,TON,2021,tuna
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,TON,2021,tuna
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,TON,2021,tuna
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3.0,TON,2021,tuna
100,32,JAWA BARAT,3271,KOTA BOGOR,0.0,TON,2021,tuna
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,TON,2021,tuna
102,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,TON,2021,tuna
103,32,JAWA BARAT,3274,KOTA CIREBON,1.0,TON,2021,tuna
104,32,JAWA BARAT,3275,KOTA BEKASI,0.0,TON,2021,tuna
105,32,JAWA BARAT,3276,KOTA DEPOK,0.0,TON,2021,tuna
106,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,TON,2021,tuna
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,TON,2021,tuna
108,32,JAWA BARAT,3279,KOTA BANJAR,0.0,TON,2021,tuna
